Date,Temp(°C),DewPoint(°C),Humidi(%),WindSpeed(mps),Press(hpa),SST(°C),Cloud_Fraction,Long_wave_radiation_flux,Short_wave_radiation_flux,Precipitation
1/18/2008,9.166666667,4.055555556,72.7,2.816271793,1015.917,17.9,0.629599984,-90.7457657,116.904152,0
1/19/2008,8.833333333,-2,63,2.905677246,1012.53061,17.8,0.38569999,-100.531067,114.602501,0
1/20/2008,8.111111111,-3.833333333,55.1,2.682163612,1015.917,17.7,0.202499995,-112.525871,125.037575,0
1/21/2008,8.111111111,-6.111111111,47.2,2.816271793,1015.917,17.8,0.067199998,-113.921982,128.611893,0
1/22/2008,8.111111111,-2.111111111,57.4,2.950379973,1009.14422,17.6,0.203099995,-101.510559,127.934837,0
1/23/2008,9,1.5,68.5,2.771569066,1009.14422,17.5,0.131199997,-85.0828552,126.324463,0
1/24/2008,9.277777778,3.444444444,69.2,2.682163612,1012.53061,17.8,0.363999991,-89.3396149,121.722725,0
1/25/2008,10.77777778,-6.111111111,34.4,8.448815378,1012.53061,17.8,0.198299995,-115.639679,130.067886,0
1/26/2008,9.5,-13.61111111,19.5,8.627626285,1012.53061,17.4,0.058699999,-122.330254,134.691132,0
1/27/2008,9.888888889,-5.5,40.3,3.442109969,1009.14422,17.3,0.80599998,-90.1577148,135.179947,1.2744
1/28/2008,9.555555556,2.388888889,65.2,3.844434511,998.98505,17,0.994699975,-33.0393295,70.9663239,9.17568
1/29/2008,8.222222222,-8.166666667,30.7,12.02503353,998.98505,16.7,0.420399989,-83.3133392,100.583145,0.81216
1/30/2008,5.444444444,-13.05555556,25.5,12.24854716,1009.14422,16.9,0.546799986,-115.8965,128.276199,0
1/31/2008,6.888888889,-12.44444444,24.7,7.241841752,1015.917,16.9,0.196799995,-115.248756,144.273254,0
2/1/2008,6,-7.277777778,42.8,2.771569066,1019.30339,16.8,0.299099992,-102.223083,142.524689,0
2/2/2008,7.333333333,-1.555555556,56.7,2.503352705,1019.30339,16.7,0.126799997,-94.2691574,140.009567,0
2/3/2008,9.166666667,0.833333333,68.3,2.592758158,1022.68978,16.9,0.175899996,-88.3360825,139.642303,0
2/4/2008,10.55555556,0.722222222,62.8,2.860974519,1019.30339,16.8,0.136799997,-92.101593,138.365814,0
2/5/2008,9.722222222,0.444444444,67.7,2.592758158,1019.30339,16.8,0.315199992,-86.4219055,141.838348,0
2/6/2008,10.05555556,5.333333333,74.2,2.548055431,1015.917,16.9,0.744199981,-69.3071289,136.894699,0.00864
2/7/2008,10.72222222,4.888888889,70,2.682163612,1012.53061,16.9,0.346299991,-82.6637421,135.987869,0
2/8/2008,10.33333333,-2.388888889,56.6,2.816271793,1012.53061,16.7,0.841399979,-87.3209229,142.596466,1.96776
2/9/2008,10.05555556,5.444444444,73.5,2.771569066,1015.917,16.5,0.986899975,-19.7056828,42.0262985,0.06912
2/10/2008,13.22222222,5.277777778,61,2.771569066,1012.53061,16.8,0.999299975,-61.1213875,107.126915,10.27296
2/11/2008,13.05555556,5.055555556,59.3,3.263299061,1009.14422,16.6,0.913899977,-77.6043549,135.122955,20.66904
2/12/2008,11.33333333,-3.666666667,39,5.721949039,1012.53061,16.7,0.982099975,-90.8387299,147.46106,0.29052
2/13/2008,9.611111111,-5.055555556,43.3,3.486812696,1012.53061,16.7,0.889099978,-65.5639801,124.018555,0
2/14/2008,8.722222222,-7.111111111,41.4,6.928922664,1012.53061,16.2,0.162399996,-100.299744,154.92215,0
2/15/2008,9.222222222,-5.277777778,39.9,5.230219043,1012.53061,16.3,0.477099988,-99.0397644,164.698196,0
2/16/2008,10.72222222,4.388888889,65.5,3.620920876,1009.14422,16.2,0.993999975,-31.9905663,85.101181,0.85212
2/17/2008,7.277777778,1.944444444,69.7,6.079570854,1002.37144,16.5,0.756799981,-57.3039856,107.848671,0.11556
2/18/2008,2.666666667,-6.166666667,52.2,7.286544479,985.43949,16.4,0.834299979,-97.5847168,142.717865,0
2/19/2008,4.055555556,-11.72222222,31.7,9.387572642,1015.917,16.2,0.190299995,-119.147308,174.746902,0
2/20/2008,8.833333333,-3.388888889,47,5.051408136,1022.68978,16.2,0.090199998,-103.953407,172.849426,0
2/21/2008,8.055555556,0.5,64.8,2.592758158,1026.07617,16.1,0.472899988,-90.8687744,172.044785,0
2/22/2008,9.166666667,2.5,70.4,2.458649978,1022.68978,16.1,0.753199981,-65.7281723,142.540314,0
2/23/2008,10.66666667,4,66.8,2.101028163,1015.917,16.1,0.701399982,-64.6353226,148.242371,0.00648
2/24/2008,13.05555556,-2.944444444,44.8,6.884219937,1012.53061,16.5,0.065299998,-96.8588638,174.074722,0
2/25/2008,11.27777778,-11.05555556,20.9,8.627626285,1012.53061,16.1,0.105299997,-121.673325,187.121567,0
2/26/2008,11.55555556,-3.833333333,40.6,3.755029057,1012.53061,16.1,0.104699997,-110.790848,187.236053,0
2/27/2008,11.05555556,5.833333333,72.6,2.458649978,1015.917,16.2,0.447299989,-100.265106,186.894623,0
2/28/2008,10.11111111,5.111111111,72.2,1.966919982,1019.30339,16.1,0.672299983,-38.9269142,85.5142212,38.15316
2/29/2008,12.27778,4.555556,61.8,2.54813,1012.53061,16.2,0.080299998,-82.2310104,177.779877,0
3/1/2008,12.44444444,4.277777778,62.6,2.14573089,1009.14422,16.1,0.255599994,-77.2704849,172.064728,0
3/2/2008,13.33333333,8,71.3,3.889137237,1005.75783,15.8,0.535799986,-49.0210152,87.5859222,2.38788
3/3/2008,13.11111111,5.444444444,61.2,3.486812696,1009.14422,15.8,0.244999994,-86.3656693,184.872833,0
3/4/2008,13,7.833333333,73,2.056325436,1012.53061,16,0.313099992,-68.3659592,188.939728,0
3/5/2008,14.05555556,9.444444444,75.2,2.413947251,1012.53061,16,0.904399977,-40.8405685,106.298172,0.10368
3/6/2008,15.72222222,4.5,50.4,3.263299061,1012.53061,16.1,0.875899978,-88.1583176,177.795609,0
3/7/2008,16.72222222,3.777777778,45.5,2.235136343,1012.53061,16.2,0.561799986,-70.5012817,157.249573,0.00108
3/8/2008,18.72222222,3.722222222,40.3,4.202056325,1009.14422,16.3,0.952599976,-69.019783,190.786102,0.00108
3/9/2008,18.66666667,6.5,46.7,4.157353599,1005.75783,16.3,0.589799985,-61.8274994,152.389862,0.02592
3/10/2008,15.88888889,7.555555556,59.4,3.084488154,1005.75783,16.6,0.105999997,-88.9370422,196.449982,0
3/11/2008,13.88888889,3,56.4,2.816271793,1009.14422,16.6,0.256599994,-85.109787,198.230682,0
3/12/2008,13.05555556,8.444444444,74.9,4.202056325,1005.75783,16.5,0.866899978,-28.211441,100.420578,3.294
3/13/2008,13.16666667,8.055555556,72.1,3.084488154,1002.37144,16.5,0.41329999,-43.1302414,130.991211,0.20736
3/14/2008,12.94444444,-0.055555556,49.2,6.258381761,1005.75783,16.5,0.108599997,-98.0974808,205.104156,0
3/15/2008,12.5,0.222222222,47,4.55967814,1012.53061,16.4,0.085399998,-99.6708603,212.895416,0
3/16/2008,12.05555556,6.055555556,69,2.503352705,1012.53061,16.3,0.204199995,-86.3944397,211.751434,0
3/17/2008,12.77777778,7.277777778,70.7,2.369244524,1009.14422,16.3,0.879199978,-78.8325272,210.691132,0
3/18/2008,12.55555556,5.888888889,65,2.14573089,1005.75783,16.4,0.515899987,-65.011734,152.254761,0
3/19/2008,12.61111111,7.444444444,72.2,2.27983907,1009.14422,16.5,0.698599982,-62.382885,203.679794,0.06804
3/20/2008,14.5,10.94444444,79.4,2.771569066,1009.14422,16.5,0.999299975,-29.1073208,101.169937,11.50848
3/21/2008,15.61111111,10.88888889,74.8,2.14573089,1002.37144,16.2,0.850599979,-31.0889606,107.001656,19.01556
3/22/2008,17.22222222,12.61111111,75.2,2.592758158,1002.37144,16.4,0.813499979,-39.146347,126.328773,0.34668
3/23/2008,18.5,10.11111111,61.2,2.235136343,1002.37144,16.4,0.959299976,-67.0729446,215.613373,0
3/24/2008,19.22222222,11.11111111,62.2,2.682163612,998.98505,16.5,0.561199986,-66.6796799,214.743027,0
3/25/2008,17.11111111,10.27777778,66.7,6.839517211,995.59866,16.7,0.226599994,-67.0094604,206.891449,0
3/26/2008,14.77777778,5.5,55.6,3.352704515,1002.37144,16.6,0.212099995,-81.4343796,208.97879,0
3/27/2008,14.27777778,7.888888889,66.9,2.548055431,1002.37144,16.4,0.426199989,-71.7159348,185.595917,0
3/28/2008,13.77777778,9.277777778,75.9,2.771569066,1002.37144,16.6,0.999999975,-54.9475861,177.969635,0.35856
3/29/2008,14.44444444,9.388888889,74.6,3.531515422,1002.37144,16.6,0.999999975,-59.2508316,197.279343,0.66744
3/30/2008,14.38888889,9.777777778,75.5,2.27983907,1002.37144,16.6,0.829599979,-41.6806259,145.387894,0.03456
3/31/2008,14.33333333,7.777777778,67,3.352704515,1002.37144,16.7,0.596699985,-74.5740509,199.684357,0
4/1/2008,14.11111111,3.388888889,52.8,4.917299955,1005.75783,16.7,0.240699994,-84.8093796,223.833954,0
4/2/2008,13.72222222,6.833333333,66.8,2.860974519,1009.14422,16.8,0.79939998,-71.7505722,215.531631,0
4/3/2008,13.44444444,8.833333333,74.4,2.548055431,1005.75783,16.5,0.687199983,-39.135807,128.125015,0.00108
4/4/2008,14.88888889,9.5,72.2,2.771569066,1005.75783,17,0.569199986,-61.6779022,202.950165,0.00648
4/5/2008,15.22222222,11.05555556,76.4,2.324541797,1005.75783,17.1,0.999999975,-39.5150452,146.458923,11.29032
4/6/2008,14.77777778,10.94444444,79,2.905677246,1002.37144,17.1,0.823599979,-36.4243622,168.769638,0.97308
4/7/2008,14.38888889,6.944444444,62.2,3.129190881,1005.75783,17.2,0.180299995,-71.3673401,184.504608,0
4/8/2008,16.11111111,7.111111111,59.4,4.336164506,1009.14422,17.4,0.295899993,-95.5852432,250.367065,0
4/9/2008,14.27777778,10.05555556,76.7,1.877514528,1009.14422,17.3,0.999999975,-44.9891663,182.693893,12.3984
4/10/2008,16.11111111,11.16666667,73.5,2.503352705,1005.75783,17.3,0.873899978,-45.9592476,157.893082,0.62208
4/11/2008,16.5,11.88888889,75.8,1.698703621,1009.14422,17.3,0.691399983,-59.8769608,221.831436,9.31392
4/12/2008,18.44444444,13,72.3,1.788109075,1012.53061,17.5,0.742299981,-69.8815689,246.121231,0.19008
4/13/2008,18.22222222,14.44444444,79.9,1.609298167,1012.53061,18.3,0.914799977,-65.1384048,232.901611,0
4/14/2008,20.94444444,14.94444444,70.6,1.788109075,1009.14422,18.3,0.38799999,-69.6362457,236.345535,0
4/15/2008,20.83333333,12.44444444,61.6,1.698703621,1002.37144,18,0.643199984,-78.2092514,254.728317,0
4/16/2008,18.44444444,11.94444444,68.9,3.665623603,1002.37144,17.9,0.094699998,-92.1936798,250.98114,0
4/17/2008,17.05555556,1.5,46.9,4.023245418,988.82588,18.1,0.956999976,-99.5355072,262.384979,2.3436
4/18/2008,15.16666667,9.277777778,68.8,1.788109075,1012.53061,17.9,0.445999989,-70.2028732,184.557709,4.65696
4/19/2008,15.88888889,3.166666667,51.7,2.592758158,1005.75783,17.8,0.39799999,-90.0046921,262.095062,0
4/20/2008,17.5,11.88888889,71.3,1.743406348,1009.14422,17.9,0.336399992,-79.468071,258.041931,0
4/21/2008,17.94444444,12.72222222,73.1,1.743406348,1009.14422,18.1,0.855599978,-78.7617416,252.955338,0
4/22/2008,18.61111111,12.66666667,69.3,1.56459544,1009.14422,18.2,0.943999976,-77.4275894,244.512711,0.29376
4/23/2008,19.88888889,12.88888889,66.6,1.832811802,1009.14422,18.4,0.80269998,-85.3518524,265.20047,0
4/24/2008,20.66666667,11.88888889,59.6,1.698703621,1002.37144,19,0.38039999,-87.4792633,248.546997,0
4/25/2008,19.88888889,11.22222222,60.6,3.039785427,1002.37144,18.9,0.541899986,-91.597702,269.077484,0
4/26/2008,19.27777778,13.66666667,71.5,2.190433616,1002.37144,19.1,0.470799988,-75.4717865,250.469055,0
4/27/2008,17.72222222,12.05555556,70.3,5.006705409,1005.75783,19.1,0.670999983,-70.5140762,233.841873,0
4/28/2008,16.94444444,10.16666667,65.1,4.917299955,1005.75783,18.8,0.427699989,-66.2753601,215.716019,0
4/29/2008,15.66666667,8.555555556,64.5,3.263299061,1005.75783,18.8,0.548699986,-76.8648148,240.246552,0
4/30/2008,16,8.888888889,63.5,2.682163612,1009.14422,18.9,0.330599992,-63.6624527,189.649628,0
5/1/2008,17.33333333,9.888888889,64.5,2.905677246,1009.14422,18.8,0.093799998,-84.0808258,264.474213,0
5/2/2008,17.55555556,11.33333333,68.9,2.235136343,1009.14422,18.8,0.077799998,-89.8704224,277.118561,0
5/3/2008,18.44444444,12.77777778,71.6,2.458649978,1002.37144,18.8,0.197799995,-82.6292191,273.98642,0
5/4/2008,18.61111111,13.66666667,74.2,1.877514528,1002.37144,18.8,0.461799988,-66.5107422,224.608231,0
5/5/2008,18.72222222,11.44444444,63.9,3.084488154,1002.37144,19.3,0.38099999,-89.6134033,257.169861,0.01296
5/6/2008,20,7.166666667,46.5,5.677246312,1005.75783,19.5,0.441599989,-98.6009064,283.800629,0
5/7/2008,17.44444444,11.38888889,68.3,2.726866339,1002.37144,19.5,0.874999978,-56.6027946,187.560211,3.60396
5/8/2008,16.72222222,8.166666667,58.1,3.665623603,1002.37144,19.2,0.723499982,-74.0407486,222.175888,3.7962
5/9/2008,19,4.611111111,44,5.319624497,1002.37144,19.1,0.221599994,-98.1931534,283.234894,0
5/10/2008,18.61111111,7.888888889,51.9,4.023245418,1005.75783,19.3,0.749699981,-86.248764,267.182037,0.04536
5/11/2008,18.16666667,9.666666667,58.9,2.413947251,1009.14422,19.3,0.77789998,-72.7606125,244.715958,1.61892
5/12/2008,19.27777778,11.77777778,63.9,2.682163612,1005.75783,19.5,0.344799991,-71.5865555,242.077042,0
5/13/2008,19.38888889,11,61.2,2.548055431,1005.75783,19.8,0.306499992,-90.5716019,281.659454,0
5/14/2008,18.72222222,12.94444444,70.6,2.056325436,1005.75783,19.7,0.80739998,-69.5029602,214.146042,1.28628
5/15/2008,20.33333333,10.94444444,56.1,2.860974519,1002.37144,19.9,0.38519999,-65.0202255,223.632889,0.15012
5/16/2008,19.66666667,13.77777778,69.3,2.548055431,1005.75783,20.1,0.257599993,-64.4802399,222.316055,0.07884
5/17/2008,21.05555556,13.11111111,61.5,2.816271793,1005.75783,20.3,0.158599996,-85.4463882,279.370697,0.0108
5/18/2008,22.38888889,12,55.9,3.039785427,1005.75783,21,0.225599994,-87.9137421,279.949646,0
5/19/2008,22,12.77777778,58.8,1.966919982,1005.75783,21,0.341699991,-82.4675293,282.967743,0.00108
5/20/2008,21.88888889,13.61111111,61.2,1.922217255,1009.14422,21,0.212999995,-64.9996872,224.610016,2.09628
5/21/2008,22.88888889,13.05555556,55.7,1.922217255,1005.75783,21.5,0.546999986,-79.9026718,272.252197,0.24516
5/22/2008,23,14,58.7,2.682163612,1002.37144,21.7,0.238999994,-89.6225815,289.604248,0
5/23/2008,21.22222222,15.22222222,69.3,2.503352705,1005.75783,21.8,0.506199987,-87.1240082,292.356201,0.00648
5/24/2008,21.16666667,15.55555556,71.3,2.27983907,1005.75783,21.7,0.40389999,-68.2935486,267.163788,0.27756
5/25/2008,20.44444444,14.88888889,70.8,3.039785427,1005.75783,21.9,0.421299989,-73.0721207,244.346039,2.91168
5/26/2008,25.16666667,8,35,5.14081359,1002.37144,22.2,0.289799993,-86.4191208,285.061096,0
5/27/2008,27,7.055555556,30.7,5.006705409,1005.75783,22.2,0.117099997,-97.6353378,299.890961,0.00216
5/28/2008,25.88888889,8.5,37.4,4.067948145,1005.75783,22.3,0.027799999,-101.600029,302.830811,0
5/29/2008,26.05555556,12.05555556,45.1,2.726866339,1002.37144,22.5,0.035299999,-80.366272,279.689117,0.07776
5/30/2008,26.16666667,7.388888889,36.8,4.112650872,941.41642,22.4,0.060299999,-113.33493,309.260895,0
5/31/2008,24.88888889,8.833333333,38.8,2.682163612,917.71169,22.6,0.080299998,-101.577293,303.236664,0
6/1/2008,23.72222222,13.94444444,56.5,2.235136343,1002.37144,22.6,0.40879999,-86.1525116,277.368866,2.89656
6/2/2008,23.94444444,15.66666667,61,2.458649978,998.98505,22.8,0.227499994,-81.6225967,266.034454,0.4968
6/3/2008,24.94444444,14.88888889,57.5,2.860974519,1002.37144,23.4,0.281199993,-86.4730911,291.625,0.5292
6/4/2008,23.66666667,18.72222222,75.4,2.14573089,1005.75783,23.6,0.199599995,-76.7808533,287.517151,0
6/5/2008,23.5,17.94444444,72.7,2.235136343,1005.75783,23.6,0.260499993,-72.3346405,282.96991,0
6/6/2008,22.83333333,17.77777778,74.3,2.503352705,1002.37144,23.3,0.39149999,-70.1927109,270.97226,2.41056
6/7/2008,24.83333333,14.16666667,56,4.246759052,1002.37144,23.6,0.079499998,-85.1899719,299.931091,0
6/8/2008,23.83333333,17.66666667,70.5,2.235136343,1002.37144,23.6,0.288999993,-80.9820251,290.12674,0.10908
6/9/2008,24,18,70.9,2.369244524,1002.37144,23.7,0.241199994,-78.1947327,280.004669,0.20736
6/10/2008,27.72222222,8.611111111,32.3,7.331247206,1002.37144,23.8,0.297499992,-91.0632172,272.924805,0
6/11/2008,27.66666667,5.277777778,25.5,5.364327224,1002.37144,24.2,0.325599992,-104.401939,304.709503,0
6/12/2008,26.44444444,6.888888889,31.8,4.55967814,1002.37144,24.1,0.091999998,-108.576904,307.844025,0
6/13/2008,24.77777778,12.83333333,51.4,2.503352705,1005.75783,24.2,0.066399998,-96.624649,303.063293,0
6/14/2008,23.88888889,15.05555556,59.8,2.190433616,1002.37144,24.1,0.039999999,-88.6192627,299.014587,0
6/15/2008,24.16666667,18.05555556,69.9,2.458649978,1002.37144,24.2,0.060899999,-88.569603,295.482849,0.10368
6/16/2008,25.94444444,16.22222222,59.3,3.084488154,1002.37144,24.4,0.0192,-89.5650787,302.678467,0
6/17/2008,26.22222222,15.88888889,56.6,2.637460885,1005.75783,24.6,0.051299999,-92.7317505,303.664581,0
6/18/2008,31.83333333,5.833333333,22.8,5.587840858,1002.37144,25,0.065099998,-112.843826,307.475555,0
6/19/2008,33.22222222,7.111111111,22,4.55967814,1002.37144,25.1,0.031699999,-98.0316467,304.451233,0
6/20/2008,32.44444444,11.33333333,30.3,4.067948145,998.98505,25.2,0.086999998,-97.8135605,301.902496,0
6/21/2008,30,15.72222222,45.2,3.486812696,998.98505,25.3,0.036999999,-93.1113205,295.023804,0
6/22/2008,31,12.16666667,34.9,3.844434511,1002.37144,25.3,0.051499999,-100.492081,302.183838,0
6/23/2008,31.27777778,7.777777778,26,3.531515422,1002.37144,25.6,0.0189,-109.920219,305.744446,0
6/24/2008,31,8.888888889,28.2,3.844434511,1002.37144,25.5,0.034399999,-105.603638,305.582306,0
6/25/2008,30.16666667,8.944444444,30.7,3.576218149,978.66671,25.6,0.0153,-105.689987,306.590546,0
6/26/2008,30.33333333,14.16666667,42.9,3.039785427,1002.37144,25.8,0.048699999,-103.564194,302.009827,0
6/27/2008,29.94444444,14.22222222,42.9,2.950379973,1002.37144,26.4,0.285199993,-101.128372,303.147003,0
6/28/2008,27.55555556,19.83333333,63.4,2.637460885,1002.37144,26.5,0.211499995,-78.7742996,286.557251,0
6/29/2008,27.83333333,21.22222222,67.9,2.056325436,998.98505,26.9,0.061699998,-78.5999603,265.562195,0
6/30/2008,31.22222222,15.27777778,41.6,4.291461779,998.98505,27.1,0.0199,-96.3641434,301.290344,0
7/1/2008,29.55555556,12.5,40.4,3.084488154,998.98505,27,0.029699999,-108.844185,306.016785,0
7/2/2008,29.5,12.61111111,41.3,2.950379973,998.98505,27,0.0206,-105.180115,303.278564,0
7/3/2008,28.61111111,17.05555556,53.5,2.905677246,998.98505,27.1,0.096499998,-90.9213638,292.791351,0.02592
7/4/2008,28.5,17.11111111,56.4,2.771569066,998.98505,27.3,0.121999997,-88.6250992,295.618958,0
7/5/2008,26.94444444,20.77777778,69.2,2.413947251,998.98505,27.5,0.115999997,-88.4589233,283.703033,0.06696
7/6/2008,29.27777778,17.77777778,52.1,3.263299061,998.98505,27.5,0.085599998,-87.6075287,287.598816,0
7/7/2008,31.77777778,10.55555556,32.4,4.783191775,1002.37144,27.6,0.047499999,-109.431412,299.883362,0
7/8/2008,31.27777778,6.111111111,24.4,4.336164506,998.98505,27.6,0.021,-115.235146,306.322083,0
7/9/2008,30.27777778,12.27777778,40,2.9950827,995.59866,27.7,0.0139,-109.089325,304.282898,0
7/10/2008,28.77777778,18.88888889,58,2.771569066,998.98505,27.7,0.051399999,-81.3802795,279.183563,0.9504
7/11/2008,29.77777778,17.33333333,51.3,3.352704515,998.98505,27.9,0.171699996,-89.3912506,286.901001,1.56816
7/12/2008,30.94444444,10.5,29.2,4.42556996,998.98505,28.2,0.345199991,-90.6042252,272.492096,2.72484
7/13/2008,32.05555556,11.94444444,31.5,4.604380867,998.98505,28.7,0.092799998,-96.5668335,290.401398,0.00648
7/14/2008,32.5,10,28.7,4.380867233,1002.37144,28.6,0.025899999,-112.215675,300.525513,0
7/15/2008,32.5,9.111111111,30.1,5.766651766,1002.37144,28.4,0.0113,-111.419571,301.807617,0
7/16/2008,28.5,19.33333333,59,2.369244524,995.59866,28.1,0.054999999,-88.8438263,292.78772,0
7/17/2008,29.55555556,17.22222222,50.8,4.649083594,995.59866,28,0.044199999,-89.5762482,290.508362,0
7/18/2008,30.5,12.83333333,38.4,4.604380867,998.98505,28.2,0.0131,-102.130447,295.584351,0
7/19/2008,29.05555556,17.77777778,53.5,2.592758158,998.98505,28.3,0.0193,-99.7629623,294.953979,0
7/20/2008,28.61111111,19.22222222,57.9,1.966919982,998.98505,28.8,0.126799997,-93.3620758,291.231628,0
7/21/2008,31.5,17.5,49.1,3.308001788,998.98505,28.7,0.0181,-92.816925,289.956696,0
7/22/2008,30.88888889,18.33333333,51.6,2.860974519,995.59866,29,0.041899999,-93.4539108,291.003479,0
7/23/2008,29.11111111,21.88888889,65.6,3.308001788,995.59866,29.1,0.037599999,-83.6071472,284.4422,0
7/24/2008,28.77777778,22.38888889,69.7,2.682163612,995.59866,28.8,0.088499998,-91.6344833,288.007172,0
7/25/2008,27.27777778,18.55555556,60.1,2.592758158,998.98505,28.6,0.054499999,-89.1175613,283.620544,0
7/26/2008,26.33333333,17.5,59.3,2.413947251,998.98505,28.4,0.101999997,-90.5494537,284.473053,0
7/27/2008,27.05555556,18.16666667,59.3,2.771569066,998.98505,28.5,0.107799997,-82.9796677,277.510681,0
7/28/2008,27.77777778,21,67.1,1.966919982,998.98505,28.5,0.165599996,-73.7373505,260.700409,0.01512
7/29/2008,28.55555556,21.16666667,65.2,2.056325436,998.98505,28.5,0.181299995,-76.7033844,259.200409,0.01728
7/30/2008,30.22222222,20.11111111,57.9,2.726866339,998.98505,29.2,0.072199998,-76.9298019,255.725677,0.00324
7/31/2008,33.83333333,7.333333333,28.6,4.604380867,998.98505,29,0.040099999,-113.647255,283.176331,0
8/1/2008,33.33333333,3.333333333,16.3,4.42556996,998.98505,28.7,0.063699998,-128.797714,286.322266,0
8/2/2008,32.16666667,6.722222222,22.9,4.202056325,998.98505,28.6,0.030899999,-115.987373,285.687195,0
8/3/2008,31.22222222,12.33333333,34.5,3.352704515,998.98505,28.6,0.0069,-103.895073,279.773895,0
8/4/2008,31.66666667,11.55555556,35.4,3.486812696,995.59866,28.8,0.026099999,-103.702171,281.363251,0
8/5/2008,32.38888889,12.72222222,34.7,3.486812696,995.59866,28.9,0.019,-94.7766953,275.110992,0
8/6/2008,33,10.83333333,30.3,3.889137237,995.59866,28.9,0.0142,-102.702873,277.166779,0
8/7/2008,33.88888889,9.388888889,28.4,3.620920876,995.59866,29,0.0129,-106.65097,277.143219,0
8/8/2008,32.11111111,13.33333333,37.4,3.665623603,995.59866,29.2,0.0087,-100.997818,273.38266,0
8/9/2008,29.88888889,18.16666667,53.7,2.413947251,995.59866,29.2,0.0085,-94.165062,269.224274,0
8/10/2008,28.61111111,22.05555556,69.1,1.922217255,995.59866,29.1,0.101399997,-74.8550644,253.992325,0.00756
8/11/2008,27.66666667,22.05555556,72.4,2.592758158,995.59866,29,0.099899998,-62.4971313,243.744583,1.08
8/12/2008,27.16666667,18.61111111,61,3.129190881,998.98505,29.2,0.055399999,-87.121376,260.760132,0
8/13/2008,31.27777778,16.16666667,48.7,3.173893608,998.98505,29.2,0.021,-86.90905,260.837738,0
8/14/2008,31.5,19.27777778,52.7,2.860974519,995.59866,29.2,0.208499995,-86.6847916,260.911804,0
8/15/2008,31.11111111,17.33333333,50.7,2.950379973,995.59866,29.4,0.043099999,-86.4864807,260.98172,0
8/16/2008,28.61111111,22.77777778,71.9,2.056325436,995.59866,29.4,0.122099997,-86.3309631,261.05127,0
8/17/2008,28.66666667,22.88888889,72.5,2.011622709,998.98505,29.6,0.075599998,-86.2080154,261.111176,0
8/18/2008,29.33333333,22.61111111,67.7,2.27983907,1002.37144,29.6,0.0134,-75.2010574,256.765442,0
8/19/2008,30.11111111,22.33333333,64.8,2.413947251,998.98505,29.6,0.049499999,-85.0195541,259.265167,0
8/20/2008,29.61111111,23.83333333,71.6,2.235136343,998.98505,29.9,0.079099998,-82.5900345,246.163055,0.00864
8/21/2008,31.33333333,21.11111111,58,2.637460885,998.98505,29.7,0.241799994,-90.6304779,246.343079,0.12204
8/22/2008,30.5,21.88888889,61.6,2.324541797,998.98505,29.9,0.313399992,-92.5381699,241.046524,4.78764
8/23/2008,32.22222222,14.5,37.1,4.023245418,995.59866,30.1,0.307699992,-84.4858704,234.519882,2.19996
