Date(d.m.y);Temperature (°F);Dew Point (°F);Humidity (%);Wind Speed (mph);Pressure (in);;;;;;;;;;;;;;;;;;;;;;
25.01.2007;54.5;25.1;51.5;3.5;30.1;;;;;;;;;;;;;;;;;;;;;;
26.01.2007;55.0;26.1;48.2;2.6;30.1;;;;;;;;;;;;;;;;;;;;;;
27.01.2007;54.0;26.6;53.8;2.5;30.0;;;;;;;;;;;;;;;;;;;;;;
28.01.2007;49.8;36.8;67.2;7.7;29.7;;;;;;;;;;;;;;;;;;;;;;
29.01.2007;45.1;11.4;39.9;10.8;29.8;;;;;;;;;;;;;;;;;;;;;;
30.01.2007;46.6;20.7;55.4;6.5;29.8;;;;;;;;;;;;;;;;;;;;;;
31.01.2007;45.1;22.6;42.9;4.8;30.0;;;;;;;;;;;;;;;;;;;;;;
1.02.2007;45.0;22.1;49.2;4.3;30.1;;;;;;;;;;;;;;;;;;;;;;
2.02.2007;49.3;27.1;48.4;12.4;30.0;;;;;;;;;;;;;;;;;;;;;;
3.02.2007;46.2;32.9;70.6;11.8;29.8;;;;;;;;;;;;;;;;;;;;;;
4.02.2007;49.3;42.0;77.3;4.9;29.7;;;;;;;;;;;;;;;;;;;;;;
5.02.2007;42.8;40.4;89.5;9.8;29.7;;;;;;;;;;;;;;;;;;;;;;
6.02.2007;45.6;41.8;86.9;6.2;29.6;;;;;;;;;;;;;;;;;;;;;;
7.02.2007;43.0;24.5;67.8;3.0;30.0;;;;;;;;;;;;;;;;;;;;;;
8.02.2007;47.1;37.5;73.0;2.5;30.1;;;;;;;;;;;;;;;;;;;;;;
9.02.2007;51.5;38.6;65.1;5.4;30.0;;;;;;;;;;;;;;;;;;;;;;
10.02.2007;53.7;40.5;64.5;3.7;29.9;;;;;;;;;;;;;;;;;;;;;;
11.02.2007;52.5;38.8;63.5;3.2;30.0;;;;;;;;;;;;;;;;;;;;;;
12.02.2007;55.1;38.0;55.3;6.2;29.9;;;;;;;;;;;;;;;;;;;;;;
13.02.2007;55.3;43.0;65.1;4.0;29.8;;;;;;;;;;;;;;;;;;;;;;
14.02.2007;53.5;51.2;92.1;7.1;29.8;;;;;;;;;;;;;;;;;;;;;;
15.02.2007;52.4;48.2;86.9;6.1;29.8;;;;;;;;;;;;;;;;;;;;;;
16.02.2007;53.3;47.2;81.6;2.9;29.2;;;;;;;;;;;;;;;;;;;;;;
17.02.2007;54.1;45.3;74.9;3.2;29.9;;;;;;;;;;;;;;;;;;;;;;
18.02.2007;56.4;40.4;58.1;6.3;29.9;;;;;;;;;;;;;;;;;;;;;;
19.02.2007;51.9;37.7;65.5;3.0;30.0;;;;;;;;;;;;;;;;;;;;;;
20.02.2007;53.9;45.9;76.3;2.6;30.0;;;;;;;;;;;;;;;;;;;;;;
21.02.2007;60.0;44.1;58.5;7.0;29.9;;;;;;;;;;;;;;;;;;;;;;
22.02.2007;60.9;43.8;55.6;6.0;29.9;;;;;;;;;;;;;;;;;;;;;;
23.02.2007;57.2;46.9;71.1;3.1;29.8;;;;;;;;;;;;;;;;;;;;;;
24.02.2007;60.1;43.6;61.5;3.8;29.6;;;;;;;;;;;;;;;;;;;;;;
25.02.2007;58.5;46.5;67.3;4.3;29.7;;;;;;;;;;;;;;;;;;;;;;
26.02.2007;57.5;46.0;67.6;5.7;29.8;;;;;;;;;;;;;;;;;;;;;;
27.02.2007;57.7;50.4;77.8;6.8;29.9;;;;;;;;;;;;;;;;;;;;;;
28.02.2007;55.8;48.9;78.8;5.1;29.9;;;;;;;;;;;;;;;;;;;;;;
1.03.2007;57.3;45.6;67.4;4.6;29.9;;;;;;;;;;;;;;;;;;;;;;
2.03.2007;58.2;50.9;78.1;6.3;30.0;;;;;;;;;;;;;;;;;;;;;;
3.03.2007;58.7;54.2;85.4;6.3;30.0;;;;;;;;;;;;;;;;;;;;;;
4.03.2007;58.6;54.3;85.9;5.5;29.9;;;;;;;;;;;;;;;;;;;;;;
5.03.2007;59.0;46.7;70.1;6.5;29.8;;;;;;;;;;;;;;;;;;;;;;
6.03.2007;56.9;20.9;35.8;10.5;30.0;;;;;;;;;;;;;;;;;;;;;;
7.03.2007;52.6;30.8;57.4;3.2;30.0;;;;;;;;;;;;;;;;;;;;;;
8.03.2007;56.9;37.5;54.5;4.2;29.8;;;;;;;;;;;;;;;;;;;;;;
9.03.2007;59.1;41.8;57.9;3.8;29.8;;;;;;;;;;;;;;;;;;;;;;
10.03.2007;60.3;44.1;60.0;3.5;29.9;;;;;;;;;;;;;;;;;;;;;;
11.03.2007;62.1;32.8;42.8;7.4;29.9;;;;;;;;;;;;;;;;;;;;;;
12.03.2007;58.5;47.9;69.0;4.3;29.8;;;;;;;;;;;;;;;;;;;;;;
13.03.2007;54.5;50.4;86.9;6.5;29.7;;;;;;;;;;;;;;;;;;;;;;
14.03.2007;49.7;41.5;73.8;8.6;29.6;;;;;;;;;;;;;;;;;;;;;;
15.03.2007;50.7;42.2;75.0;5.0;29.6;;;;;;;;;;;;;;;;;;;;;;
16.03.2007;53.1;33.4;60.9;4.7;29.7;;;;;;;;;;;;;;;;;;;;;;
17.03.2007;53.8;29.4;43.9;7.2;29.9;;;;;;;;;;;;;;;;;;;;;;
18.03.2007;54.8;42.9;67.5;5.3;29.9;;;;;;;;;;;;;;;;;;;;;;
19.03.2007;57.1;50.7;80.5;7.1;29.8;;;;;;;;;;;;;;;;;;;;;;
20.03.2007;57.9;51.1;79.8;3.8;29.8;;;;;;;;;;;;;;;;;;;;;;
21.03.2007;61.1;44.9;60.0;4.0;29.9;;;;;;;;;;;;;;;;;;;;;;
22.03.2007;63.9;45.4;54.8;3.1;29.9;;;;;;;;;;;;;;;;;;;;;;
23.03.2007;67.2;47.8;53.2;8.3;29.8;;;;;;;;;;;;;;;;;;;;;;
24.03.2007;61.1;49.3;65.8;16.1;29.7;;;;;;;;;;;;;;;;;;;;;;
25.03.2007;58.1;47.3;69.9;6.0;29.9;;;;;;;;;;;;;;;;;;;;;;
26.03.2007;58.5;43.7;62.9;4.2;29.8;;;;;;;;;;;;;;;;;;;;;;
27.03.2007;57.9;40.1;56.7;5.3;29.8;;;;;;;;;;;;;;;;;;;;;;
28.03.2007;55.3;47.9;77.2;7.0;29.9;;;;;;;;;;;;;;;;;;;;;;
29.03.2007;55.2;43.2;68.6;3.9;30.0;;;;;;;;;;;;;;;;;;;;;;
30.03.2007;57.5;47.3;71.4;3.9;30.0;;;;;;;;;;;;;;;;;;;;;;
31.03.2007;60.5;46.8;64.1;3.8;29.9;;;;;;;;;;;;;;;;;;;;;;
1.04.2007;59.3;48.9;69.5;5.9;29.8;;;;;;;;;;;;;;;;;;;;;;
2.04.2007;56.5;47.7;74.6;4.4;29.8;;;;;;;;;;;;;;;;;;;;;;
3.04.2007;56.3;40.9;58.8;5.6;29.7;;;;;;;;;;;;;;;;;;;;;;
4.04.2007;56.8;44.2;63.8;6.7;29.8;;;;;;;;;;;;;;;;;;;;;;
5.04.2007;57.7;44.2;63.1;6.0;29.9;;;;;;;;;;;;;;;;;;;;;;
6.04.2007;65.0;49.5;59.3;6.3;29.8;;;;;;;;;;;;;;;;;;;;;;
7.04.2007;65.7;53.2;67.9;3.2;29.8;;;;;;;;;;;;;;;;;;;;;;
8.04.2007;64.2;49.6;63.3;6.5;29.7;;;;;;;;;;;;;;;;;;;;;;
9.04.2007;62.0;53.3;74.9;7.6;29.7;;;;;;;;;;;;;;;;;;;;;;
10.04.2007;62.0;53.9;76.6;4.6;29.7;;;;;;;;;;;;;;;;;;;;;;
11.04.2007;61.0;51.0;73.3;5.3;29.7;;;;;;;;;;;;;;;;;;;;;;
12.04.2007;61.8;54.3;78.2;4.9;29.8;;;;;;;;;;;;;;;;;;;;;;
13.04.2007;63.7;51.1;67.9;4.8;29.8;;;;;;;;;;;;;;;;;;;;;;
14.04.2007;63.6;47.1;58.3;6.0;29.8;;;;;;;;;;;;;;;;;;;;;;
15.04.2007;57.0;39.1;61.0;5.1;29.8;;;;;;;;;;;;;;;;;;;;;;
16.04.2007;55.8;34.1;53.3;4.3;29.9;;;;;;;;;;;;;;;;;;;;;;
17.04.2007;57.7;38.6;56.1;5.2;29.9;;;;;;;;;;;;;;;;;;;;;;
18.04.2007;59.4;48.5;69.3;9.1;29.6;;;;;;;;;;;;;;;;;;;;;;
19.04.2007;60.3;34.2;48.6;7.5;29.8;;;;;;;;;;;;;;;;;;;;;;
20.04.2007;60.4;46.2;61.9;6.9;29.9;;;;;;;;;;;;;;;;;;;;;;
21.04.2007;61.1;40.3;55.0;4.3;30.1;;;;;;;;;;;;;;;;;;;;;;
22.04.2007;64.8;41.6;47.8;3.8;29.9;;;;;;;;;;;;;;;;;;;;;;
23.04.2007;69.8;40.8;39.4;7.8;29.8;;;;;;;;;;;;;;;;;;;;;;
24.04.2007;61.8;23.7;26.8;9.4;29.8;;;;;;;;;;;;;;;;;;;;;;
25.04.2007;61.2;33.9;43.2;4.2;29.9;;;;;;;;;;;;;;;;;;;;;;
26.04.2007;66.1;36.8;41.0;5.8;29.9;;;;;;;;;;;;;;;;;;;;;;
27.04.2007;71.0;47.2;44.6;8.4;29.9;;;;;;;;;;;;;;;;;;;;;;
28.04.2007;69.3;51.3;55.2;4.6;29.8;;;;;;;;;;;;;;;;;;;;;;
29.04.2007;65.3;56.0;73.0;6.1;29.6;;;;;;;;;;;;;;;;;;;;;;
30.04.2007;63.2;51.6;66.2;6.4;29.1;;;;;;;;;;;;;;;;;;;;;;
1.05.2007;67.3;55.6;68.9;3.7;29.9;;;;;;;;;;;;;;;;;;;;;;
2.05.2007;68.1;54.1;65.2;4.7;29.9;;;;;;;;;;;;;;;;;;;;;;
3.05.2007;75.6;51.3;47.4;4.9;29.7;;;;;;;;;;;;;;;;;;;;;;
4.05.2007;77.2;54.4;48.1;6.3;29.6;;;;;;;;;;;;;;;;;;;;;;
5.05.2007;74.7;57.5;59.4;3.8;29.8;;;;;;;;;;;;;;;;;;;;;;
6.05.2007;82.3;54.3;44.3;4.8;29.8;;;;;;;;;;;;;;;;;;;;;;
7.05.2007;85.3;51.7;34.1;5.6;29.7;;;;;;;;;;;;;;;;;;;;;;
8.05.2007;78.9;60.1;55.1;5.5;29.7;;;;;;;;;;;;;;;;;;;;;;
9.05.2007;72.3;62.6;72.5;5.0;29.8;;;;;;;;;;;;;;;;;;;;;;
10.05.2007;72.3;58.8;64.3;4.3;29.7;;;;;;;;;;;;;;;;;;;;;;
11.05.2007;71.8;62.0;71.5;6.8;29.7;;;;;;;;;;;;;;;;;;;;;;
12.05.2007;68.7;63.7;84.4;5.8;29.6;;;;;;;;;;;;;;;;;;;;;;
13.05.2007;69.7;65.1;86.3;4.5;29.7;;;;;;;;;;;;;;;;;;;;;;
14.05.2007;71.5;64.7;81.3;4.7;29.7;;;;;;;;;;;;;;;;;;;;;;
15.05.2007;73.8;64.3;75.3;4.2;29.7;;;;;;;;;;;;;;;;;;;;;;
16.05.2007;75.8;63.1;69.9;6.1;29.7;;;;;;;;;;;;;;;;;;;;;;
17.05.2007;71.8;66.7;84.8;4.0;29.7;;;;;;;;;;;;;;;;;;;;;;
18.05.2007;69.3;65.8;89.3;5.1;29.8;;;;;;;;;;;;;;;;;;;;;;
19.05.2007;74.0;63.7;73.4;4.0;29.8;;;;;;;;;;;;;;;;;;;;;;
20.05.2007;79.1;62.6;63.7;7.2;29.8;;;;;;;;;;;;;;;;;;;;;;
21.05.2007;71.8;61.8;73.1;5.5;29.8;;;;;;;;;;;;;;;;;;;;;;
22.05.2007;72.2;59.5;67.5;4.4;29.7;;;;;;;;;;;;;;;;;;;;;;
23.05.2007;72.5;60.2;67.4;5.5;29.7;;;;;;;;;;;;;;;;;;;;;;
24.05.2007;74.2;59.2;63.3;1.5;29.7;;;;;;;;;;;;;;;;;;;;;;
25.05.2007;77.8;58.4;58.8;0.0;29.7;;;;;;;;;;;;;;;;;;;;;;
26.05.2007;73.7;63.4;72.4;0.0;29.8;;;;;;;;;;;;;;;;;;;;;;
27.05.2007;73.5;62.1;69.8;0.0;29.7;;;;;;;;;;;;;;;;;;;;;;
28.05.2007;73.5;62.7;71.2;2.4;29.8;;;;;;;;;;;;;;;;;;;;;;
29.05.2007;73.9;63.5;71.8;3.5;29.7;;;;;;;;;;;;;;;;;;;;;;
30.05.2007;82.3;61.0;55.5;5.2;29.6;;;;;;;;;;;;;;;;;;;;;;
31.05.2007;76.6;66.5;72.4;5.6;29.7;;;;;;;;;;;;;;;;;;;;;;
1.06.2007;74.7;63.9;70.9;5.1;29.8;;;;;;;;;;;;;;;;;;;;;;
2.06.2007;72.9;63.4;73.0;4.7;29.8;;;;;;;;;;;;;;;;;;;;;;
3.06.2007;74.3;64.1;72.6;4.7;29.8;;;;;;;;;;;;;;;;;;;;;;
4.06.2007;74.4;64.7;73.5;4.9;29.8;;;;;;;;;;;;;;;;;;;;;;
5.06.2007;76.4;66.7;73.9;4.5;29.7;;;;;;;;;;;;;;;;;;;;;;
6.06.2007;76.9;67.5;75.0;4.5;29.6;;;;;;;;;;;;;;;;;;;;;;
7.06.2007;75.6;64.6;70.9;8.4;29.6;;;;;;;;;;;;;;;;;;;;;;
8.06.2007;74.0;63.8;72.1;5.6;29.6;;;;;;;;;;;;;;;;;;;;;;
9.06.2007;72.7;64.8;77.6;4.3;29.7;;;;;;;;;;;;;;;;;;;;;;
10.06.2007;78.0;65.9;68.7;3.6;29.7;;;;;;;;;;;;;;;;;;;;;;
11.06.2007;75.6;67.4;76.9;6.7;29.6;;;;;;;;;;;;;;;;;;;;;;
12.06.2007;75.3;66.3;75.4;6.4;29.6;;;;;;;;;;;;;;;;;;;;;;
13.06.2007;76.4;66.6;73.9;4.9;29.7;;;;;;;;;;;;;;;;;;;;;;
14.06.2007;77.3;68.3;75.6;4.5;29.7;;;;;;;;;;;;;;;;;;;;;;
15.06.2007;78.1;69.3;75.8;4.9;29.6;;;;;;;;;;;;;;;;;;;;;;
16.06.2007;78.3;69.4;75.0;4.7;29.6;;;;;;;;;;;;;;;;;;;;;;
17.06.2007;77.7;69.3;75.9;5.4;29.6;;;;;;;;;;;;;;;;;;;;;;
18.06.2007;78.1;70.1;76.8;5.0;29.6;;;;;;;;;;;;;;;;;;;;;;
19.06.2007;79.9;71.6;76.9;6.0;28.9;;;;;;;;;;;;;;;;;;;;;;
20.06.2007;81.1;67.7;67.1;6.3;29.6;;;;;;;;;;;;;;;;;;;;;;
21.06.2007;83.1;59.2;53.0;5.1;29.6;;;;;;;;;;;;;;;;;;;;;;
22.06.2007;83.5;51.8;36.0;7.2;29.6;;;;;;;;;;;;;;;;;;;;;;
23.06.2007;82.4;55.7;47.2;5.0;29.7;;;;;;;;;;;;;;;;;;;;;;
24.06.2007;84.8;57.3;44.4;5.8;29.7;;;;;;;;;;;;;;;;;;;;;;
25.06.2007;86.9;66.3;53.5;4.6;29.6;;;;;;;;;;;;;;;;;;;;;;
26.06.2007;87.1;52.8;32.9;7.4;29.5;;;;;;;;;;;;;;;;;;;;;;
27.06.2007;86.3;62.9;50.4;5.4;29.5;;;;;;;;;;;;;;;;;;;;;;
28.06.2007;85.3;70.7;65.4;5.8;29.5;;;;;;;;;;;;;;;;;;;;;;
29.06.2007;83.6;74.0;75.3;4.9;29.5;;;;;;;;;;;;;;;;;;;;;;
30.06.2007;82.3;72.7;74.6;6.1;29.5;;;;;;;;;;;;;;;;;;;;;;
1.07.2007;81.5;68.8;67.6;6.0;29.6;;;;;;;;;;;;;;;;;;;;;;
2.07.2007;82.5;71.8;72.8;6.1;29.6;;;;;;;;;;;;;;;;;;;;;;
3.07.2007;82.5;69.9;69.0;5.7;29.6;;;;;;;;;;;;;;;;;;;;;;
4.07.2007;82.0;72.4;75.0;5.2;29.6;;;;;;;;;;;;;;;;;;;;;;
5.07.2007;82.0;72.3;74.2;5.4;29.6;;;;;;;;;;;;;;;;;;;;;;
6.07.2007;81.2;70.6;71.5;5.7;29.6;;;;;;;;;;;;;;;;;;;;;;
7.07.2007;83.1;72.6;72.4;6.7;29.6;;;;;;;;;;;;;;;;;;;;;;
8.07.2007;83.0;67.9;65.2;6.5;29.6;;;;;;;;;;;;;;;;;;;;;;
9.07.2007;83.3;68.8;65.7;5.6;29.6;;;;;;;;;;;;;;;;;;;;;;
10.07.2007;82.5;69.4;68.2;5.0;29.6;;;;;;;;;;;;;;;;;;;;;;
11.07.2007;82.8;73.1;74.6;5.1;29.6;;;;;;;;;;;;;;;;;;;;;;
12.07.2007;83.6;72.6;71.3;5.4;29.6;;;;;;;;;;;;;;;;;;;;;;
13.07.2007;81.2;72.1;75.3;5.7;29.6;;;;;;;;;;;;;;;;;;;;;;
14.07.2007;81.0;71.5;73.4;6.0;29.6;;;;;;;;;;;;;;;;;;;;;;
15.07.2007;82.9;69.0;65.8;5.8;29.6;;;;;;;;;;;;;;;;;;;;;;
16.07.2007;84.6;53.8;41.1;6.1;29.6;;;;;;;;;;;;;;;;;;;;;;
17.07.2007;87.8;45.2;24.0;14.3;29.6;;;;;;;;;;;;;;;;;;;;;;
18.07.2007;89.8;49.5;28.2;10.1;29.6;;;;;;;;;;;;;;;;;;;;;;
19.07.2007;89.7;51.9;31.1;8.3;29.6;;;;;;;;;;;;;;;;;;;;;;
20.07.2007;83.7;70.2;66.7;4.9;29.7;;;;;;;;;;;;;;;;;;;;;;
21.07.2007;84.2;72.9;70.5;4.8;29.7;;;;;;;;;;;;;;;;;;;;;;
22.07.2007;84.2;74.1;74.0;4.8;29.6;;;;;;;;;;;;;;;;;;;;;;
23.07.2007;84.5;74.5;74.4;4.5;29.5;;;;;;;;;;;;;;;;;;;;;;
24.07.2007;84.8;75.2;75.5;5.0;29.5;;;;;;;;;;;;;;;;;;;;;;
25.07.2007;85.5;75.7;75.0;5.2;29.5;;;;;;;;;;;;;;;;;;;;;;
26.07.2007;85.9;76.3;75.8;4.1;29.6;;;;;;;;;;;;;;;;;;;;;;
27.07.2007;86.9;76.1;73.2;4.5;29.6;;;;;;;;;;;;;;;;;;;;;;
28.07.2007;88.3;76.2;71.2;4.4;29.6;;;;;;;;;;;;;;;;;;;;;;
29.07.2007;91.1;70.5;57.6;5.2;29.5;;;;;;;;;;;;;;;;;;;;;;
30.07.2007;91.4;72.8;58.7;4.7;29.4;;;;;;;;;;;;;;;;;;;;;;
31.07.2007;87.5;79.0;76.7;5.2;29.5;;;;;;;;;;;;;;;;;;;;;;
1.08.2007;87.4;77.8;74.4;4.9;29.6;;;;;;;;;;;;;;;;;;;;;;
2.08.2007;87.3;78.5;75.6;6.7;29.6;;;;;;;;;;;;;;;;;;;;;;
3.08.2007;86.8;77.1;74.7;5.8;29.6;;;;;;;;;;;;;;;;;;;;;;
4.08.2007;86.0;76.1;74.7;5.9;29.6;;;;;;;;;;;;;;;;;;;;;;
5.08.2007;84.9;75.5;75.5;7.0;29.5;;;;;;;;;;;;;;;;;;;;;;
6.08.2007;83.8;74.1;74.9;8.0;29.6;;;;;;;;;;;;;;;;;;;;;;
7.08.2007;82.9;69.2;65.7;6.8;29.6;;;;;;;;;;;;;;;;;;;;;;
8.08.2007;81.3;68.4;67.0;6.1;29.6;;;;;;;;;;;;;;;;;;;;;;
9.08.2007;82.2;70.9;69.8;5.6;29.6;;;;;;;;;;;;;;;;;;;;;;
10.08.2007;83.3;72.7;72.0;5.8;29.6;;;;;;;;;;;;;;;;;;;;;;
11.08.2007;84.4;73.6;72.3;4.7;29.6;;;;;;;;;;;;;;;;;;;;;;
12.08.2007;84.0;74.5;75.4;5.2;29.6;;;;;;;;;;;;;;;;;;;;;;
13.08.2007;82.6;71.6;72.1;6.9;29.6;;;;;;;;;;;;;;;;;;;;;;
14.08.2007;82.7;72.6;73.2;5.7;29.6;;;;;;;;;;;;;;;;;;;;;;
15.08.2007;84.0;73.0;71.8;5.3;29.6;;;;;;;;;;;;;;;;;;;;;;
16.08.2007;85.2;73.5;70.0;5.2;29.6;;;;;;;;;;;;;;;;;;;;;;
17.08.2007;85.1;74.6;72.9;6.4;29.6;;;;;;;;;;;;;;;;;;;;;;
18.08.2007;85.7;73.3;69.3;7.2;29.6;;;;;;;;;;;;;;;;;;;;;;
19.08.2007;85.4;73.9;70.6;5.4;29.5;;;;;;;;;;;;;;;;;;;;;;
20.08.2007;83.8;74.2;75.3;6.0;29.6;;;;;;;;;;;;;;;;;;;;;;
21.08.2007;84.4;73.5;72.4;4.7;29.7;;;;;;;;;;;;;;;;;;;;;;
22.08.2007;84.7;74.4;74.0;5.0;29.7;;;;;;;;;;;;;;;;;;;;;;
23.08.2007;87.3;64.3;56.3;4.3;29.6;;;;;;;;;;;;;;;;;;;;;;
24.08.2007;86.3;59.3;45.0;6.3;29.6;;;;;;;;;;;;;;;;;;;;;;
25.08.2007;84.0;63.3;51.9;5.0;29.7;;;;;;;;;;;;;;;;;;;;;;
26.08.2007;83.8;66.6;59.1;4.6;29.6;;;;;;;;;;;;;;;;;;;;;;
27.08.2007;84.2;71.9;67.7;5.5;29.6;;;;;;;;;;;;;;;;;;;;;;
28.08.2007;84.6;72.4;69.5;5.3;29.6;;;;;;;;;;;;;;;;;;;;;;
29.08.2007;84.6;71.2;67.3;5.0;29.7;;;;;;;;;;;;;;;;;;;;;;
30.08.2007;85.3;73.1;70.0;5.2;29.7;;;;;;;;;;;;;;;;;;;;;;
31.08.2007;86.3;71.8;67.2;5.0;29.6;;;;;;;;;;;;;;;;;;;;;;
1.09.2007;85.1;69.0;64.0;4.5;29.6;;;;;;;;;;;;;;;;;;;;;;
2.09.2007;84.2;73.8;73.7;4.0;29.6;;;;;;;;;;;;;;;;;;;;;;
3.09.2007;83.9;73.6;73.7;4.2;29.6;;;;;;;;;;;;;;;;;;;;;;
4.09.2007;84.5;74.2;73.6;4.0;29.6;;;;;;;;;;;;;;;;;;;;;;
5.09.2007;83.4;72.5;72.6;5.0;29.7;;;;;;;;;;;;;;;;;;;;;;
6.09.2007;83.0;70.6;68.7;6.2;29.7;;;;;;;;;;;;;;;;;;;;;;
7.09.2007;82.1;72.0;72.6;4.8;29.6;;;;;;;;;;;;;;;;;;;;;;
8.09.2007;80.8;69.0;68.1;10.3;29.6;;;;;;;;;;;;;;;;;;;;;;
9.09.2007;77.4;62.6;62.4;7.1;29.7;;;;;;;;;;;;;;;;;;;;;;
10.09.2007;77.1;61.8;61.6;5.1;29.8;;;;;;;;;;;;;;;;;;;;;;
11.09.2007;77.1;61.1;61.3;4.4;29.8;;;;;;;;;;;;;;;;;;;;;;
12.09.2007;76.8;61.8;62.3;4.1;29.8;;;;;;;;;;;;;;;;;;;;;;
13.09.2007;77.8;62.7;62.3;4.8;29.7;;;;;;;;;;;;;;;;;;;;;;
14.09.2007;79.1;57.8;56.1;4.1;29.7;;;;;;;;;;;;;;;;;;;;;;
15.09.2007;79.3;47.8;42.5;4.3;29.7;;;;;;;;;;;;;;;;;;;;;;
16.09.2007;78.6;63.8;62.8;6.1;29.7;;;;;;;;;;;;;;;;;;;;;;
17.09.2007;80.1;53.6;48.6;4.5;29.8;;;;;;;;;;;;;;;;;;;;;;
18.09.2007;78.7;42.8;37.9;4.6;29.7;;;;;;;;;;;;;;;;;;;;;;
19.09.2007;78.3;56.4;51.4;4.4;29.7;;;;;;;;;;;;;;;;;;;;;;
20.09.2007;78.8;63.9;63.6;5.0;29.8;;;;;;;;;;;;;;;;;;;;;;
21.09.2007;78.8;60.2;60.4;3.8;29.8;;;;;;;;;;;;;;;;;;;;;;
22.09.2007;79.2;66.4;67.5;5.5;29.8;;;;;;;;;;;;;;;;;;;;;;
23.09.2007;77.8;66.4;69.6;4.6;29.7;;;;;;;;;;;;;;;;;;;;;;
24.09.2007;76.6;63.2;66.0;5.2;29.7;;;;;;;;;;;;;;;;;;;;;;
25.09.2007;77.5;60.0;58.9;5.5;29.8;;;;;;;;;;;;;;;;;;;;;;
26.09.2007;78.3;59.8;57.9;4.6;29.9;;;;;;;;;;;;;;;;;;;;;;
27.09.2007;78.4;55.7;51.6;3.4;29.8;;;;;;;;;;;;;;;;;;;;;;
28.09.2007;76.6;56.3;56.1;3.7;29.8;;;;;;;;;;;;;;;;;;;;;;
29.09.2007;78.0;64.9;66.8;4.7;29.8;;;;;;;;;;;;;;;;;;;;;;
30.09.2007;77.5;65.6;70.5;3.6;29.8;;;;;;;;;;;;;;;;;;;;;;
1.10.2007;78.0;59.3;60.3;3.7;29.8;;;;;;;;;;;;;;;;;;;;;;
2.10.2007;81.3;45.4;37.1;3.8;29.8;;;;;;;;;;;;;;;;;;;;;;
3.10.2007;83.8;51.5;37.4;6.3;29.8;;;;;;;;;;;;;;;;;;;;;;
4.10.2007;79.2;68.3;70.7;5.7;29.8;;;;;;;;;;;;;;;;;;;;;;
5.10.2007;74.2;62.3;68.5;5.2;29.8;;;;;;;;;;;;;;;;;;;;;;
6.10.2007;72.1;56.4;62.8;3.9;29.8;;;;;;;;;;;;;;;;;;;;;;
7.10.2007;76.2;64.3;68.3;5.2;29.9;;;;;;;;;;;;;;;;;;;;;;
8.10.2007;79.6;58.6;55.9;4.1;29.9;;;;;;;;;;;;;;;;;;;;;;
9.10.2007;80.6;48.5;36.8;4.6;29.8;;;;;;;;;;;;;;;;;;;;;;
