Date,Temp(°C),DewPoint(°C),Humidi(%),WindSpeed(mps),Press(hpa),SST(°C)
14-Feb-07,14.55555556,9.888888889,73.8,5.811354493,1002.37144,16.1
15-Feb-07,10.72222222,6.555555556,75.8,3.173893608,1005.75783,15.8
16-Feb-07,11.72222222,5.555555556,67.9,2.369244524,1009.14422,15.7
17-Feb-07,10.66666667,8.722222222,89.3,2.726866339,1009.14422,15.9
18-Feb-07,13.66666667,6.222222222,62.5,3.665623603,1009.14422,15.9
19-Feb-07,12.94444444,7.833333333,72.8,2.324541797,1012.53061,15.8
20-Feb-07,11.77777778,8.666666667,82.3,1.698703621,1012.53061,15.7
21-Feb-07,12.22222222,6.833333333,71.2,2.324541797,1009.14422,15.8
22-Feb-07,13.11111111,5.888888889,63.9,2.9950827,1009.14422,15.8
23-Feb-07,12.5,5.888888889,66.2,1.966919982,1005.75783,15.5
24-Feb-07,14.11111111,5.055555556,57.6,3.129190881,1002.37144,15.3
25-Feb-07,13.61111111,4.611111111,56.3,2.816271793,1002.37144,15.7
26-Feb-07,13.05555556,7.944444444,72.2,2.637460885,1005.75783,15.6
27-Feb-07,13.44444444,9.222222222,76.5,2.950379973,1009.14422,15.4
28-Feb-07,10.61111111,7.944444444,84.2,3.084488154,1005.75783,15.4
1-Mar-07,11.94444444,7.388888889,75.1,2.9950827,1009.14422,15.8
2-Mar-07,12.66666667,8.666666667,77.7,2.324541797,1012.53061,15.8
3-Mar-07,14,11.22222222,84,1.743406348,1012.53061,15.7
4-Mar-07,14.44444444,12,85.3,2.056325436,1009.14422,15.7
5-Mar-07,14.61111111,0.555555556,50.9,7.375949933,1009.14422,16
6-Mar-07,12.88888889,-5.111111111,38.4,5.856057219,1015.917,15.9
7-Mar-07,12.11111111,-3.666666667,51.4,2.905677246,1012.53061,15.9
8-Mar-07,11.72222222,1.444444444,58.8,2.235136343,1009.14422,16
9-Mar-07,12.61111111,5.5,65.7,2.190433616,1009.14422,16.1
10-Mar-07,13.11111111,5.833333333,65.8,2.011622709,1009.14422,16.1
11-Mar-07,15.38888889,5.888888889,57.8,2.682163612,1009.14422,16.4
12-Mar-07,15.33333333,7.277777778,61.6,3.039785427,1005.75783,16.4
13-Mar-07,14.33333333,-3.444444444,34.3,8.761734466,1002.37144,16.4
14-Mar-07,10.44444444,-6.055555556,31.7,9.208761734,1002.37144,16.4
15-Mar-07,12.83333333,-5.277777778,36.7,9.119356281,1002.37144,16.3
16-Mar-07,13.38888889,-3.722222222,32.1,5.364327224,1005.75783,16.2
17-Mar-07,13.16666667,0.222222222,44.7,4.783191775,1009.14422,16.2
18-Mar-07,11.94444444,6,68.6,2.682163612,1009.14422,16.3
19-Mar-07,12.83333333,7.5,71,2.503352705,1005.75783,16.3
20-Mar-07,13.83333333,8.666666667,73.3,1.832811802,985.43949,16.2
21-Mar-07,13.72222222,7.277777778,66.8,2.771569066,1009.14422,16.1
22-Mar-07,13.77777778,7.277777778,65.3,1.788109075,1009.14422,16
23-Mar-07,16,9.555555556,66.7,4.470272687,998.98505,16.4
24-Mar-07,13.72222222,7.722222222,68.5,2.816271793,1002.37144,16.2
25-Mar-07,13.11111111,5.388888889,61.4,2.816271793,1009.14422,16.2
26-Mar-07,13.61111111,5.222222222,60.5,3.486812696,1009.14422,16.5
27-Mar-07,14.11111111,2.277777778,54.6,4.112650872,1009.14422,16.6
28-Mar-07,13.55555556,6.722222222,65.1,2.950379973,1009.14422,16.8
29-Mar-07,13.55555556,4.611111111,59.7,2.101028163,1012.53061,16.5
30-Mar-07,13.61111111,8,70.1,2.190433616,1012.53061,16.2
31-Mar-07,11.38888889,8.277777778,82,1.922217255,1009.14422,16.3
1-Apr-07,14.5,5.555555556,58.9,6.794814484,1005.75783,16.6
2-Apr-07,15.22222222,-3.222222222,32.8,8.582923558,1009.14422,16.7
3-Apr-07,13.61111111,-0.944444444,41.5,5.587840858,1005.75783,16.6
4-Apr-07,11.61111111,2.833333333,60.5,2.592758158,1005.75783,16.7
5-Apr-07,13.38888889,6.444444444,64.8,2.548055431,1009.14422,16.4
6-Apr-07,15,6.833333333,60.9,3.218596334,1009.14422,16.4
7-Apr-07,16.05555556,7.555555556,60.5,3.352704515,1005.75783,16.8
8-Apr-07,17.22222222,7.444444444,56.3,2.682163612,1002.37144,16.9
9-Apr-07,18.88888889,2.777777778,39.5,4.42556996,1002.37144,17.1
10-Apr-07,17.55555556,0.944444444,40.3,3.71032633,1005.75783,17.1
11-Apr-07,17.72222222,-0.055555556,39.5,4.112650872,1002.37144,17.1
12-Apr-07,15.61111111,8.5,64,3.978542691,1005.75783,17
13-Apr-07,17.72222222,0.166666667,40.5,4.202056325,1009.14422,17
14-Apr-07,18.66666667,-5.166666667,25.5,6.213679034,1009.14422,17.1
15-Apr-07,17.55555556,-3.388888889,24.6,6.437192669,1005.75783,17.3
16-Apr-07,15.5,-0.222222222,38.7,4.783191775,1009.14422,17.3
17-Apr-07,13.33333333,6.722222222,65.3,1.922217255,1009.14422,17
18-Apr-07,14.16666667,8.333333333,69.2,2.14573089,1002.37144,16.9
19-Apr-07,16,2.888888889,44.7,5.364327224,1009.14422,16.8
20-Apr-07,16.88888889,5.111111111,55.8,4.291461779,1009.14422,16.9
21-Apr-07,16.27777778,11,72.8,2.548055431,1015.917,17
22-Apr-07,17,10.11111111,66,1.922217255,1012.53061,17.2
23-Apr-07,21.22222222,-1.722222222,26.6,7.778274475,1009.14422,17.3
24-Apr-07,18.66666667,-4,25.7,5.27492177,1009.14422,17.5
25-Apr-07,15.44444444,3.555555556,54.8,2.27983907,1009.14422,17.5
26-Apr-07,16.88888889,2.388888889,44.9,2.101028163,1009.14422,17.6
27-Apr-07,18,3.555555556,48.2,2.682163612,1009.14422,17.8
28-Apr-07,17.27777778,9.277777778,62.2,1.922217255,1005.75783,17.9
29-Apr-07,16.44444444,9.111111111,63.8,3.352704515,1002.37144,18.2
30-Apr-07,18.33333333,6.611111111,50.7,4.872597228,1002.37144,18.3
1-May-07,17,10.66666667,67.7,2.369244524,1009.14422,18.4
2-May-07,18,9.388888889,59.4,2.369244524,1009.14422,18.2
3-May-07,22.27777778,10.16666667,48.9,3.933839964,1002.37144,18.6
4-May-07,23.05555556,10.05555556,47.3,3.308001788,1002.37144,18.7
5-May-07,22.16666667,12.11111111,54.9,2.413947251,1005.75783,19.3
6-May-07,24.72222222,12,48.8,2.14573089,1005.75783,20.1
7-May-07,27,8.833333333,34.4,2.771569066,1005.75783,20.1
8-May-07,24.55555556,13.83333333,52.7,2.056325436,1002.37144,20.3
9-May-07,21.05555556,15.83333333,72,2.324541797,1005.75783,20
10-May-07,20.66666667,15.72222222,73.5,1.922217255,1002.37144,20
11-May-07,21.5,15.05555556,68.2,2.324541797,1002.37144,19.8
12-May-07,20.11111111,15.77777778,76.3,2.056325436,1002.37144,19.9
13-May-07,20.77777778,16.61111111,77.5,2.056325436,1002.37144,20.1
14-May-07,22.22222222,12.5,66.9,3.397407242,1002.37144,20.4
15-May-07,22.33333333,13.16666667,61.8,2.860974519,1002.37144,21
16-May-07,21.83333333,15.05555556,66.5,2.682163612,1002.37144,21.1
17-May-07,21.11111111,16.05555556,73.1,1.609298167,1002.37144,21.2
18-May-07,21.22222222,16.33333333,73.7,2.324541797,1005.75783,21.1
19-May-07,22.66666667,14.72222222,63.3,1.698703621,1005.75783,21
20-May-07,22.83333333,15.77777778,65.1,3.308001788,1005.75783,21
21-May-07,20.55555556,15.05555556,71.2,2.816271793,1009.14422,21.2
22-May-07,20,14.33333333,71.3,2.458649978,1005.75783,21.3
23-May-07,19.27777778,12.72222222,66.6,2.548055431,1002.37144,21.6
24-May-07,20.11111111,12.88888889,64.6,2.503352705,1005.75783,22.1
25-May-07,22.94444444,10.38888889,48.8,2.905677246,1002.37144,22.1
26-May-07,21.22222222,15.83333333,71.2,3.039785427,1005.75783,22.2
27-May-07,21.33333333,15.55555556,70.7,2.548055431,1005.75783,22.3
28-May-07,21.66666667,16.72222222,74,2.458649978,1005.75783,22.3
29-May-07,23.05555556,16.33333333,67.9,2.413947251,1002.37144,21.7
30-May-07,23.88888889,14.11111111,55.4,2.413947251,998.98505,22
31-May-07,21.72222222,15.88888889,69.5,2.816271793,1002.37144,21.9
1-Jun-07,21.38888889,15.72222222,70.7,2.637460885,1005.75783,22.1
2-Jun-07,21.44444444,15.55555556,70.7,2.27983907,1005.75783,22.1
3-Jun-07,22.33333333,15.83333333,68.2,2.458649978,1005.75783,22.4
4-Jun-07,23.44444444,16.94444444,68.1,2.27983907,1005.75783,22.8
5-Jun-07,23.38888889,18.38888889,74.3,2.011622709,1005.75783,22.8
6-Jun-07,23.72222222,17.77777778,71.3,2.548055431,998.98505,22.8
7-Jun-07,22.61111111,16.44444444,68.9,2.235136343,998.98505,22.8
8-Jun-07,23.66666667,14.44444444,58.3,2.9950827,1002.37144,23.3
9-Jun-07,23.44444444,16.27777778,65.7,2.235136343,1002.37144,23.4
10-Jun-07,24.38888889,15,59.5,3.531515422,1002.37144,23.6
11-Jun-07,25.77777778,12.11111111,43.9,4.738489048,998.98505,23.6
12-Jun-07,25.83333333,10.38888889,40.9,5.587840858,998.98505,23.6
13-Jun-07,23.44444444,15.94444444,65.2,2.27983907,1002.37144,23.9
14-Jun-07,24.11111111,16.05555556,63,2.27983907,1002.37144,24.1
15-Jun-07,24.72222222,16.77777778,63,2.190433616,1002.37144,24.3
16-Jun-07,24.72222222,18.88888889,70,2.056325436,998.98505,24.5
17-Jun-07,24.27777778,20,77.7,1.966919982,998.98505,24.6
18-Jun-07,25.77777778,20.33333333,72.8,2.056325436,998.98505,24.9
19-Jun-07,32.16666667,8.5,27.5,5.14081359,998.98505,25.1
20-Jun-07,31.5,8.444444444,26.2,4.649083594,998.98505,25.1
21-Jun-07,32.16666667,6.666666667,21.3,5.9901654,1002.37144,25.3
22-Jun-07,30.5,7.722222222,26.4,4.872597228,1002.37144,25
23-Jun-07,31.72222222,4.611111111,22,3.889137237,1002.37144,25.4
24-Jun-07,34.05555556,9.611111111,24.8,3.844434511,1002.37144,25.9
25-Jun-07,36.61111111,2.222222222,15.2,8.85113992,1002.37144,26
26-Jun-07,34.83333333,7.777777778,20.7,5.319624497,998.98505,26.1
27-Jun-07,34.61111111,7.833333333,24.1,3.71032633,995.59866,26.2
28-Jun-07,33.22222222,11.05555556,28.9,3.397407242,995.59866,26.5
29-Jun-07,32.66666667,13.11111111,35.7,3.844434511,995.59866,26.6
30-Jun-07,31.11111111,14.38888889,38.4,4.827894502,995.59866,26.4
1-Jul-07,29.16666667,11.27777778,33.6,3.933839964,998.98505,27.1
2-Jul-07,30,9.388888889,29.6,4.514975414,998.98505,27.1
3-Jul-07,29.83333333,8.833333333,30.6,4.157353599,998.98505,26.6
4-Jul-07,28.16666667,15.38888889,49.8,2.548055431,998.98505,26.5
5-Jul-07,26.55555556,20.33333333,69,2.190433616,998.98505,26.8
6-Jul-07,26.83333333,21.33333333,71.8,2.503352705,998.98505,26.8
7-Jul-07,31,7.611111111,30.6,5.632543585,1002.37144,26.9
8-Jul-07,32.66666667,3.166666667,16.6,5.364327224,1002.37144,26.9
9-Jul-07,33,1.333333333,17.5,4.023245418,998.98505,26.7
10-Jul-07,30,12.16666667,39.8,2.413947251,998.98505,26.9
11-Jul-07,27,19.88888889,66.6,1.966919982,998.98505,27
12-Jul-07,27.33333333,21.05555556,69,2.190433616,1002.37144,27.1
13-Jul-07,26.22222222,20.55555556,71.3,2.324541797,998.98505,27.2
14-Jul-07,30.38888889,15.22222222,42.1,4.42556996,998.98505,27.4
15-Jul-07,31.72222222,3.777777778,20.4,6.213679034,1002.37144,27.2
16-Jul-07,31.61111111,4.388888889,18.9,5.856057219,1002.37144,27.2
17-Jul-07,31.83333333,6.611111111,22.4,4.604380867,1002.37144,27.1
18-Jul-07,32.05555556,6.666666667,25.8,3.531515422,1002.37144,26.8
19-Jul-07,31.72222222,9.444444444,27.9,3.978542691,1002.37144,27.1
20-Jul-07,28.22222222,16.33333333,53.2,2.369244524,1002.37144,27.1
21-Jul-07,26.61111111,19.77777778,65.3,2.27983907,982.0531,27.4
22-Jul-07,28,21.66666667,69.3,1.966919982,998.98505,27.7
23-Jul-07,30.33333333,19.88888889,59.6,2.726866339,995.59866,27.7
24-Jul-07,31.88888889,17.44444444,53,3.129190881,995.59866,28.1
25-Jul-07,30.38888889,21,62.1,2.771569066,995.59866,28.1
26-Jul-07,30.27777778,20,57.1,2.27983907,998.98505,28.5
27-Jul-07,29.11111111,22.94444444,70.3,1.922217255,998.98505,29
28-Jul-07,30.16666667,23.55555556,68.7,2.14573089,998.98505,29
29-Jul-07,32.22222222,20.83333333,55.4,2.458649978,995.59866,28.9
30-Jul-07,35.66666667,13.11111111,27.1,3.442109969,995.59866,29.3
31-Jul-07,32.11111111,18.77777778,49.4,2.503352705,995.59866,29.3
1-Aug-07,29.72222222,24.72222222,75.5,2.101028163,998.98505,29
2-Aug-07,29.27777778,23.88888889,73.6,1.966919982,998.98505,29.1
3-Aug-07,30.61111111,20.5,58.4,2.592758158,998.98505,29.4
4-Aug-07,29.44444444,22.77777778,69.4,2.413947251,998.98505,29.4
5-Aug-07,28.83333333,22.77777778,71,2.413947251,995.59866,29.2
6-Aug-07,28.33333333,21.27777778,66.9,3.039785427,998.98505,29.2
7-Aug-07,27.88888889,18.88888889,58.4,3.665623603,998.98505,29
8-Aug-07,27,17.94444444,58.2,2.548055431,1002.37144,28.6
9-Aug-07,27.55555556,20.83333333,67.1,2.190433616,998.98505,28.5
10-Aug-07,28.44444444,21.83333333,68.5,2.14573089,998.98505,29.2
11-Aug-07,28.66666667,22.72222222,71.4,2.14573089,998.98505,29.2
12-Aug-07,27.88888889,22.5,73.2,2.458649978,998.98505,28.8
13-Aug-07,27.5,21.38888889,69.6,2.324541797,998.98505,28.7
14-Aug-07,28.05555556,21.44444444,68.2,2.190433616,998.98505,28.7
15-Aug-07,28.38888889,22.11111111,69.6,2.369244524,998.98505,28.8
16-Aug-07,28.16666667,23,74.3,2.190433616,998.98505,28.8
17-Aug-07,29,23.38888889,72.7,2.27983907,998.98505,28.9
18-Aug-07,28.94444444,22.61111111,70.7,2.235136343,998.98505,29.1
19-Aug-07,28.88888889,22.22222222,68.2,2.235136343,998.98505,29.1
20-Aug-07,28.5,22.72222222,72,2.235136343,998.98505,29.1
21-Aug-07,28.11111111,22.05555556,70.5,2.011622709,1002.37144,29.1
22-Aug-07,30.11111111,20.66666667,61.4,2.860974519,1002.37144,29.4
23-Aug-07,32.77777778,12.5,36.5,3.71032633,1002.37144,29.5
24-Aug-07,33.5,8.611111111,24,5.230219043,1002.37144,29.2
25-Aug-07,31.83333333,13,33.4,4.470272687,1002.37144,29
26-Aug-07,31.33333333,15.11111111,40.6,4.246759052,1002.37144,29
27-Aug-07,31.38888889,15.55555556,41.8,4.067948145,998.98505,29.3
28-Aug-07,29.27777778,18.44444444,53.9,2.950379973,998.98505,29.2
29-Aug-07,28.33333333,19.94444444,61.9,2.324541797,1002.37144,29
30-Aug-07,29.72222222,17.88888889,52.7,2.771569066,1002.37144,29.4
31-Aug-07,32.27777778,13,36.2,3.442109969,1002.37144,29.2
1-Sep-07,31.83333333,12.5,38.2,3.129190881,998.98505,29.3
2-Sep-07,29.77777778,16.88888889,49,2.548055431,998.98505,29.2
3-Sep-07,28.16666667,19.72222222,61.4,2.011622709,998.98505,29.2
4-Sep-07,27.94444444,22.11111111,70.8,2.458649978,1002.37144,29
5-Sep-07,27.33333333,20.33333333,66.5,2.503352705,1002.37144,29.3
6-Sep-07,27.83333333,17.55555556,55.3,3.352704515,1002.37144,29
7-Sep-07,29.05555556,13.44444444,39.2,3.933839964,998.98505,28.7
8-Sep-07,26.44444444,14.66666667,49.6,3.620920876,998.98505,28.6
9-Sep-07,24,15.22222222,58.1,2.950379973,1002.37144,27.9
10-Sep-07,23.77777778,9.777777778,43.7,3.397407242,1005.75783,27.4
11-Sep-07,24.11111111,11.94444444,48.3,2.816271793,1005.75783,27.4
12-Sep-07,23.22222222,13.88888889,57,2.503352705,1005.75783,27.4
13-Sep-07,23.22222222,14.16666667,58,2.101028163,1002.37144,27
14-Sep-07,26.83333333,4.888888889,26.5,5.498435405,1005.75783,26.8
15-Sep-07,25.44444444,8.722222222,38.3,3.308001788,1005.75783,26.8
16-Sep-07,25.16666667,12.5,49.5,3.263299061,1002.37144,26.9
17-Sep-07,27.16666667,4.611111111,28.5,4.604380867,1005.75783,26.7
18-Sep-07,25.5,5.666666667,36.1,3.039785427,1005.75783,26.9
19-Sep-07,22.77777778,8.5,43.1,2.548055431,961.73476,27
20-Sep-07,22.88888889,15.27777778,64.3,1.922217255,1005.75783,26.8
21-Sep-07,22.88888889,16.05555556,67.4,2.14573089,1005.75783,26.7
22-Sep-07,23.27777778,15.16666667,62.1,2.682163612,1005.75783,26.8
23-Sep-07,23.33333333,15.44444444,62,2.548055431,1005.75783,26.8
24-Sep-07,25.27777778,10.44444444,40.6,4.023245418,1005.75783,26.8
25-Sep-07,25,7.333333333,35.5,4.827894502,1005.75783,26.7
26-Sep-07,23.27777778,11.88888889,52,2.9950827,1009.14422,26.3
27-Sep-07,23.27777778,13.05555556,55.3,2.682163612,1009.14422,26.8
28-Sep-07,25.22222222,10.94444444,44.1,2.771569066,1005.75783,26.6
29-Sep-07,28.05555556,1.944444444,32.1,3.397407242,1005.75783,26.6
30-Sep-07,27.38888889,6.277777778,41.1,3.665623603,1005.75783,26.4
1-Oct-07,24.88888889,10.55555556,49.2,2.548055431,1005.75783,26.5
2-Oct-07,27,0.944444444,25.7,2.950379973,1005.75783,26.4
3-Oct-07,25.83333333,13.22222222,51.1,2.548055431,1005.75783,26.3
4-Oct-07,22.38888889,17.27777778,73.6,2.9950827,1009.14422,26.4
5-Oct-07,22.61111111,14.22222222,61,3.129190881,1009.14422,26.4
6-Oct-07,22.66666667,16,67.7,2.190433616,1009.14422,26.2
7-Oct-07,23.05555556,16.72222222,69.7,2.548055431,1009.14422,26.4
8-Oct-07,23.5,17.5,71.4,2.458649978,1009.14422,26.3
9-Oct-07,24.88888889,10.27777778,44.8,2.592758158,1009.14422,26.2
10-Oct-07,26.55555556,9.222222222,38.1,3.352704515,1005.75783,25.9
11-Oct-07,24.55555556,13.88888889,54.6,2.548055431,1009.14422,25.8
12-Oct-07,23.27777778,16.33333333,67.2,1.966919982,1009.14422,26
13-Oct-07,22.66666667,17.11111111,71.9,3.263299061,1005.75783,26
14-Oct-07,21.66666667,13.66666667,61.2,3.173893608,1005.75783,26
15-Oct-07,19.72222222,1.722222222,36.3,8.448815378,1009.14422,25.6
16-Oct-07,19.16666667,-2.888888889,23.5,6.258381761,1012.53061,25.3
17-Oct-07,19.38888889,0.888888889,35.5,3.173893608,1012.53061,24.9
18-Oct-07,19.16666667,-2.611111111,32.7,3.308001788,1009.14422,24.8
19-Oct-07,19.22222222,0.222222222,35.2,2.369244524,1009.14422,24.7
20-Oct-07,18.94444444,8.833333333,53.6,2.056325436,1009.14422,24.6
21-Oct-07,18.77777778,14.22222222,74.9,2.548055431,1009.14422,24.4
22-Oct-07,18.72222222,15.88888889,83.2,2.235136343,1009.14422,24.3
23-Oct-07,20.27777778,15.66666667,75.8,2.637460885,1009.14422,24.2
24-Oct-07,20.22222222,15.05555556,72.6,2.592758158,1009.14422,24.3
25-Oct-07,20.11111111,14.22222222,70.1,2.771569066,1012.53061,24.3
26-Oct-07,22.55555556,7.555555556,39.8,4.55967814,1015.917,24.9
27-Oct-07,23.05555556,3.333333333,30.7,5.006705409,1015.917,24.7
28-Oct-07,23.27777778,3.555555556,28.8,5.721949039,1012.53061,24.5
29-Oct-07,19.83333333,12.5,64.1,2.458649978,1009.14422,24.2
30-Oct-07,20.66666667,10.83333333,58.3,3.486812696,1009.14422,24.3
31-Oct-07,18.94444444,12.33333333,66.4,2.27983907,1015.917,24
1-Nov-07,20.11111111,15.5,75.6,1.56459544,1015.917,23.9
2-Nov-07,20.44444444,14.11111111,69.3,2.235136343,1012.53061,23.9
3-Nov-07,22.05555556,10.61111111,49.7,3.397407242,1009.14422,23.9
4-Nov-07,20.05555556,14,69.2,2.369244524,1009.14422,23.8
5-Nov-07,18.22222222,15.88888889,86.1,2.369244524,1009.14422,23.7
6-Nov-07,15.44444444,12.38888889,81.9,4.738489048,1005.75783,23.5
7-Nov-07,15.83333333,6.111111111,53.9,5.319624497,1005.75783,23.3
8-Nov-07,15.22222222,2.666666667,49.9,4.827894502,1009.14422,23.1
9-Nov-07,14.66666667,0.277777778,44.9,6.437192669,1009.14422,22.7
10-Nov-07,15,7.222222222,61.2,4.738489048,1002.37144,22.5
11-Nov-07,14.66666667,-3.055555556,35.1,8.27000447,1005.75783,22.1
12-Nov-07,13.05555556,0.277777778,51.6,2.9950827,1012.53061,21.7
13-Nov-07,13.88888889,11.61111111,86.5,2.548055431,1009.14422,21.5
14-Nov-07,15.77777778,12.27777778,80.9,2.235136343,1009.14422,21.3
15-Nov-07,15.44444444,12.72222222,84.5,2.324541797,1012.53061,21.3
16-Nov-07,16.11111111,11.44444444,75.5,2.056325436,1015.917,21.5
17-Nov-07,15.05555556,9.444444444,72.1,2.101028163,1012.53061,21.8
18-Nov-07,14.05555556,9.555555556,74.1,2.592758158,1005.75783,21.7
19-Nov-07,14.94444444,9.777777778,72.7,3.576218149,1005.75783,21.6
20-Nov-07,11.61111111,8.777777778,83.8,2.950379973,1005.75783,21.3
21-Nov-07,14.27777778,4.444444444,52.8,6.079570854,1009.14422,21.3
22-Nov-07,14.05555556,3.055555556,51,3.352704515,1012.53061,21.1
23-Nov-07,11.94444444,-3.555555556,57,2.726866339,1015.917,20.9
24-Nov-07,11.38888889,4.555555556,65.6,2.27983907,1019.30339,20.8
25-Nov-07,11.33333333,3.388888889,62.3,2.056325436,1019.30339,21.1
26-Nov-07,11.88888889,6.055555556,69.8,2.011622709,1019.30339,21
27-Nov-07,14.22222222,9.388888889,73.9,2.14573089,1015.917,20.8
28-Nov-07,15.11111111,9,68.4,3.129190881,1009.14422,20.6
29-Nov-07,13.38888889,-0.833333333,40.6,4.783191775,1012.53061,20.6
30-Nov-07,14.22222222,8.833333333,70.1,1.832811802,1012.53061,20.6
1-Dec-07,13.66666667,11.5,85.7,2.369244524,1005.75783,20.7
2-Dec-07,14.05555556,-1.222222222,46.1,5.27492177,1009.14422,20.7
3-Dec-07,11.61111111,0.944444444,64.2,2.27983907,1009.14422,20.5
4-Dec-07,12.11111111,9.222222222,82.2,2.726866339,1009.14422,20.6
5-Dec-07,14.27777778,11.72222222,85.6,5.319624497,998.98505,20.5
6-Dec-07,11.5,7.777777778,78.8,2.860974519,998.98505,20.2
7-Dec-07,12.05555556,3.777777778,59.1,3.889137237,1005.75783,20.3
8-Dec-07,11.94444444,6.777777778,71.6,2.413947251,1012.53061,20.2
9-Dec-07,12.11111111,9.944444444,86.2,3.039785427,1009.14422,20.4
10-Dec-07,14.83333333,10.66666667,76.9,3.173893608,1005.75783,20.4
11-Dec-07,13.83333333,10.27777778,79.6,2.011622709,1009.14422,20.2
12-Dec-07,15.33333333,11.16666667,76.9,2.905677246,1009.14422,20.2
13-Dec-07,12.27777778,8.666666667,79.3,3.129190881,1002.37144,20.2
14-Dec-07,11.77777778,3.833333333,60.3,3.889137237,1002.37144,20.1
15-Dec-07,11.22222222,7.166666667,77.3,2.816271793,1012.53061,20.2
16-Dec-07,11.66666667,4.944444444,66.4,3.620920876,1012.53061,20.1
17-Dec-07,9.888888889,1.5,62.9,2.503352705,1015.917,19.6
18-Dec-07,10.88888889,-4.611111111,45.7,6.437192669,1015.917,20
19-Dec-07,9.611111111,-3.5,41,4.380867233,1015.917,20
20-Dec-07,8.722222222,-1.666666667,50,3.665623603,1015.917,19.9
21-Dec-07,8.444444444,-2.888888889,52,3.352704515,1015.917,19.8
22-Dec-07,8.611111111,-4.111111111,50.7,2.905677246,1019.30339,20.2
23-Dec-07,8.666666667,0.222222222,61,2.503352705,1019.30339,20
24-Dec-07,8.333333333,-4.222222222,60.2,2.369244524,1019.30339,19.8
25-Dec-07,8.5,-2.833333333,65.2,2.458649978,1015.917,19.6
